Company Name,Scrip Code
bannari amman sugars ltd.,500041
bansal roofing products ltd.,538546
bansal wire industries ltd.,544209
bansisons tea industries ltd.,519353
banswara syntex ltd.,503722
barak valley cements ltd.,532916
barbeque-nation hospitality ltd.,543283
baroda extrusion ltd.,513502
baroda rayon corporation ltd.,500270
baron infotech ltd.,532336
bartronics india ltd.,532694
basant agro tech (india) ltd.,524687
basf india ltd.,500042
bata india ltd.,500043
batliboi ltd.,522004
bayer cropscience ltd.,506285
bazel international ltd.,539946
bcc fuba india ltd.,517246
bcl enterprises ltd.,539621
bcl industries ltd.,524332
bcpl railway infrastructure ltd.,542057
bdh industries ltd.,524828
beardsell ltd.,539447
bedmutha industries ltd.,533270
bee electronic machines ltd.,517203
beekay steel industries ltd.,539018
beeyu overseas ltd.,532645
beezaasan explotech ltd.,544369
befound movement ltd.,511585
bella casa fashion & retail ltd.,539399
belrise industries ltd.,544405
bemco hydraulics ltd.,522650
beml land assets ltd.,543898
beml ltd.,500048
benara bearings & pistons ltd.,541178
benares hotels ltd.,509438
benchmark computer solutions ltd.,544052
bengal & assam company ltd.,533095
bengal steel industries ltd.,512404
bengal tea and fabrics ltd.,532230
bentley commercial enterprises ltd.,512195
berger paints (india) ltd.,509480
bervin investment & leasing ltd.,531340
beryl drugs ltd.,524606
beryl securities ltd.,531582
best agrolife ltd.,539660
best eastern hotels ltd.,508664
betala global securities ltd.,531530
betex india ltd.,512477
bf investment ltd.,533303
bf utilities ltd.,532430
bfl asset finvest ltd.,539662
bgil films & technologies ltd.,511664
bgr energy systems ltd.,532930
bhagawati oxygen ltd.,509449
bhageria industries ltd.,530803
bhagiradha chemicals & industries ltd.,531719
bhagwati autocast ltd.,504646
bhagyanagar india ltd.,512296
bhagyashree leasing & finance ltd.,511698
bhakti gems and jewellery ltd.,540545
bhandari hosiery exports ltd.,512608
bhanderi infracon ltd.,538576
bhansali engineering polymers ltd.,500052
bharat agri fert & realty ltd.,531862
bharat bhushan finance & commodity brokers ltd.,511501
bharat bijlee ltd.,503960
bharat dynamics ltd.,541143
bharat electronics ltd.,500049
bharat forge ltd.,500493
bharat gears ltd.,505688
bharat global developers ltd.,521238
bharat heavy electricals ltd.,500103
bharat immunological & biologicals corporation ltd.,524663
bharat petroleum corporation ltd.,500547
bharat rasayan ltd.,590021
bharat road network ltd.,540700
bharat seats ltd.,523229
bharat textiles & proofing industries ltd.,531029
bharat wire ropes ltd.,539799
bharatiya global infomedia ltd.,533499
bharti airtel ltd.,532454
bharti hexacom ltd.,544162
bhartiya international ltd.,526666
bhaskar agrochemicals ltd.,524534
bhatia colour chem ltd.,543497
bhatia communications & retail (india) ltd.,540956
bheema cements ltd.,518017
bhilwara spinners ltd.,514272
bhilwara technical textiles ltd.,533108
bhoruka aluminium ltd.,506027
bhudevi infra projects ltd.,526488
bigbloc construction ltd.,540061
bihar sponge iron ltd.,500058
bijoy hans ltd.,524723
bikaji foods international ltd.,543653
bil energy systems ltd.,533321
bil vyapar ltd.,500059
bilcare ltd.,526853
billwin industries ltd.,543209
bimetal bearings ltd.,505681
binayak tex processors ltd.,523054
bindal exports ltd.,540148
binny ltd.,514215
biocon ltd.,532523
biofil chemicals & pharmaceuticals ltd.,524396
biogen pharmachem industries ltd.,531752
biopac india corporation ltd.,532330
birla cable ltd.,500060
birla corporation ltd.,500335
birla cotsyn (india) ltd.,533006
birla precision technologies ltd.,522105
birlanu ltd.,509675
birlasoft ltd.,532400
bisil plast ltd.,531671
bits ltd.,526709
bizotic commercial ltd.,543926
bj duplex boards ltd.,531647
bkm industries ltd.,539043
bkv industries ltd.,519500
black box ltd.,500463
black rose industries ltd.,514183
blackbuck ltd.,544288
blb ltd.,532290
bliss gvs pharma ltd.,506197
bloom dekor ltd.,526225
bloom industries ltd.,513422
bls e-services ltd.,544107
bls infotech ltd.,531175
bls international services ltd.,540073
blt logistics ltd.,544474
blue blends (india) ltd.,502761
blue chip india ltd.,531936
blue chip tex industries ltd.,506981
blue cloud softech solutions ltd.,539607
blue coast hotels ltd.,531495
blue dart express ltd.,526612
blue jet healthcare ltd,544009
blue pearl agriventures ltd.,514440
blue star ltd.,500067
blueblood ventures ltd.,539637
bluegod entertainment ltd.,539175
bluestone jewellery and lifestyle ltd.,544484
bluspring enterprises ltd.,544414
bmb music & magnetics ltd.,531420
bmw industries ltd.,542669
bn holdings ltd.,526125
bnr udyog ltd.,530809
bobshell electrodes ltd.,526925
bodal chemicals ltd.,524370
bodhi tree multimedia ltd.,543767
bodhtree consulting ltd.,539122
bombay burmah trading corporation ltd.,501425
bombay cycle & motor agency ltd.,501430
bombay dyeing & manufacturing company ltd.,500020
bombay oxygen investments ltd.,509470
bombay rayon fashions ltd.,532678
bombay talkies ltd.,511246
bombay wire ropes ltd.,504648
bonanza industries ltd.,523133
bondada engineering ltd.,543971
bonlon industries ltd.,543211
borana weaves ltd.,544404
borosil ltd.,543212
borosil renewables ltd.,502219
borosil scientific ltd.,544184
bosch ltd.,500530
boston bio systems ltd.,531458
boston leasing and finance ltd.,539274
bothra metals & alloys ltd.,535279
bpl ltd.,500074
brady & morris engg co ltd.,505690
brahmaputra infrastructure ltd.,535693
brainbees solutions ltd.,544226
brand concepts ltd.,543442
brandbucket media & technology ltd.,543439
brawn biotech ltd.,530207
bridge securities ltd.,530249
brigade enterprises ltd.,532929
brigade hotel ventures ltd.,544457
bright brothers ltd.,526731
bright outdoor media ltd.,543831
brightcom group ltd.,532368
brijlaxmi leasing & finance ltd.,532113
brilliant portfolios ltd.,539434
brisk technovision ltd.,544101
britannia industries ltd.,500825
broach lifecare hospital ltd.,544231
bronze infra tech ltd.,534731
bronze trading ltd.,539873
brooks laboratories ltd.,533543
bsel algo ltd.,532123
bsl ltd.,514045
burnpur cement ltd.,532931
butterfly gandhimathi appliances ltd.,517421
bwl ltd.,504643
c & c constructions ltd.,532813
c.e. info systems ltd.,543425
calcom vision ltd.,517236
california software company ltd.,532386
callista industries ltd.,539335
cals refineries ltd.,526652
cambridge technology enterprises ltd.,532801
camex ltd.,524440
camlin fine sciences ltd.,532834
campus activewear ltd.,543523
camson seeds ltd.,540071
can fin homes ltd.,511196
canara bank,532483
candour techtex ltd.,522292
cantabil retail india ltd.,533267
capacit'e infraprojects ltd.,540710
capfin india ltd.,539198
capital india finance ltd.,530879
capital small finance bank ltd.,544120
capital trade links ltd.,538476
capital trust ltd.,511505
capitalnumbers infotech ltd.,544343
caplin point laboratories ltd.,524742
capri global capital ltd.,531595
capricorn systems global solutions ltd.,512169
caprihans india ltd.,509486
caprolactam chemicals ltd.,507486
captain pipes ltd.,538817
captain polyplast ltd.,536974
captain technocast ltd.,540652
carborundum universal ltd.,513375
care ratings ltd.,534804
career point edutech ltd.,544499
cargosol logistics ltd.,543621
cargotrans maritime ltd.,543618
carnation industries ltd.,530609
carraro india ltd.,544320
cartrade tech ltd.,543333
carysil ltd.,524091
caspian corporate services ltd.,534732
castrol india ltd.,500870
catvision ltd.,531158
ccl international ltd.,531900
ccl products india ltd.,519600
cdg petchem ltd.,534796
ceat ltd.,500878
ceejay finance ltd.,530789
ceenik exports (india) ltd.,531119
ceeta industries ltd.,514171
ceigall india ltd.,544223
ceinsys tech ltd.,538734
celebrity fashions ltd.,532695
cella space ltd.,532701
cello world ltd.,544012
cemantic infra-tech ltd.,538596
cemindia projects ltd.,509496
cenlub industries ltd.,522251
centenial surgical suture ltd.,531380
centerac technologies ltd.,531621
central bank of india,532885
central provinces railways company ltd.,501827
centrum capital ltd.,501150
centum electronics ltd.,517544
century enka ltd.,500280
century extrusions ltd.,500083
